,address,eth_balance_usd,usdc_balance_usd,usdt_balance_usd,wbtc_balance_usd,weth_balance_usd,dai_balance_usd,shib_balance_usd,pepe_balance_usd,user_received_eth,user_sent_eth,max_received_eth,max_sent_eth,user_net_flow_eth_log_abs_norm,eth_balance_usd_norm,usdc_balance_usd_norm,usdt_balance_usd_norm,wbtc_balance_usd_norm,weth_balance_usd_norm,dai_balance_usd_norm,shib_balance_usd_norm,pepe_balance_usd_norm,user_received_eth_norm,user_sent_eth_norm,max_received_eth_norm,max_sent_eth_norm,whale_score,n_chains_with_asset,total_assets_usd,usdc_balance_ratio,usdt_balance_ratio,weth_balance_ratio,wbtc_balance_ratio,eth_balance_ratio,dai_balance_ratio,stable_token_ratio,meme_token_ratio,erc20_token_ratio,native_token_ratio,n_chains_with_activity,wbtc_positive_inflow_months,weth_positive_inflow_months,total_protocol_count,total_protocol_type,total_methods,total_tx_count,method_diversity,avg_tx_usd_value_inflow,avg_tx_usd_value_outflow,total_tx_usd_value_inflow,total_tx_usd_value_outflow,active_days,active_days_ratio,tx_avg_burst,bridge_ratio,dex_ratio,lending_ratio,stablecoin_ratio,unknown_ratio,bridge_focus,dex_focus,lending_focus,stablecoin_focus,most_used_bridge,most_used_dex,most_used_lending,most_used_stablecoin,most_active_weekday,most_active_1h_interval,most_active_4h_interval,most_active_chain,n_chains_used,chain_focus,chain_entropy,chain_1_ratio,chain_8453_ratio,chain_42161_ratio,first_timestamp_dt,last_timestamp_dt,lifetime_days,txs_per_day,txs_per_week,txs_per_month,total_protocol_count_norm,total_protocol_type_norm,total_methods_norm,total_tx_count_norm,txs_per_week_norm,active_score
0,0x00648a1370d98b6f45f4ed19dcc68bf36941a62c,89.981,3.7302999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.62,0.02,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93.7113,0.04,0.0,0.0,0.0,0.96,0.0,0.04,0.0,0.0,0.96,2,1,0,7,6,2,18,0.87,56.86,84.5,113.73,2366.06,3,0.0,6.0,0.05,0.0,0.27,0.38,0.27,1.0,0.0,1.0,0.51,STARGATE_V2_BRIDGE_USDC_1,unknown,COMPOUND_V3_USDT_1,USDT_1,Friday,0,0,1,2,0.72,0.65,0.83,0.0,0.17,2024-10-07 17:58:47,2025-07-22 02:12:05,288,0.06,0.44,1.88,0.46,0.55,0.58,0.29,0.06,34.5
1,0x0acefa6b0313b012ffb7fb833398005e384485e2,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.94,126.65,5.65,11.53,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0,0.022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0,4,4,1,100,0.78,9655.56,6001.39,193111.13,480110.87,13,0.02,7.69,0.0,0.08,0.23,0.12,0.56,0.0,1.0,1.0,1.0,unknown,1INCH_V5_1,COMPOUND_V3_USDC_1,USDC_1,Saturday,5,4,1,1,1.0,0.0,1.0,0.0,0.0,2025-07-12 04:10:59,2025-07-24 06:36:11,13,7.69,53.85,100.0,0.15,0.22,0.0,0.72,0.87,51.5
2,0x0cbe5561012c92564a21b484afee8f3d68eb2db5,58237.8122,0.012,1218.5653,0.0,138.4418,42.4096,0.0,0.0,115.75,1149.07,100.0,250.0,0.61,0.96,0.0,0.0,0.0,0.01,0.12,0.0,0.0,0.0,0.04,0.03,0.02,17.45,1,59637.2409,0.0,0.02,0.0,0.0,0.98,0.0,0.02,0.0,0.0,0.98,2,0,2,10,6,2,200,0.82,24376.89,23601.1,438784.02,4355890.13,46,0.06,4.35,0.0,0.0,0.07,0.24,0.68,0.0,0.0,1.0,0.66,unknown,unknown,AAVE_V3_POOL_1,USDC_1,Friday,4,0,1,2,0.5,1.0,0.5,0.0,0.5,2024-06-14 02:58:49,2025-07-24 04:17:40,406,0.49,3.45,14.78,0.67,0.55,0.58,0.9,0.31,54.0
3,0x1107f797c1af4982b038eb91260b3f9a90eecee9,157.1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,157.1986,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,13,0,4,4,1,100,0.86,0.0,0.0,0.0,0.0,14,0.02,7.14,0.0,0.23,0.48,0.04,0.25,0.0,1.0,1.0,1.0,unknown,1INCH_V5_1,COMPOUND_V3_USDC_1,USDC_1,Thursday,15,12,1,1,1.0,0.0,1.0,0.0,0.0,2025-05-12 14:54:11,2025-07-23 23:52:23,73,1.37,9.59,41.1,0.15,0.22,0.0,0.72,0.5,45.7
4,0x146c624b5cefb6488bfe1a9919e74fc2558243e3,86.96690000000001,1998.8982,0.0001,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,2085.8652,0.96,0.0,0.0,0.0,0.04,0.0,0.96,0.0,0.0,0.04,2,2,0,12,7,2,150,0.71,17.16,0.51,68.63,49.41,15,0.02,10.0,0.0,0.0,0.28,0.36,0.34,1.0,0.0,0.78,0.55,ACROSS_BRIDGE_1,unknown,COMPOUND_V3_USDT_1,USDT_1,Monday,2,0,1,2,0.56,0.92,0.67,0.0,0.33,2025-06-29 16:33:30,2025-07-23 15:35:22,24,6.25,43.75,150.0,0.78,0.69,0.58,0.82,0.82,62.1
5,0x15e096009b6609e7da6136a486e3cb1f6a57635c,60.9932,0.0,1633.3453999999997,0.0,0.0,0.0,0.0,0.0,2.7,5.23,1.7,1.75,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,1694.3385999999996,0.0,0.96,0.0,0.0,0.04,0.0,0.96,0.0,0.0,0.04,1,0,0,8,6,2,129,0.9,1718.5,108.42,10235.14,19824.08,36,0.05,3.58,0.0,0.03,0.23,0.29,0.44,0.0,1.0,0.64,0.95,unknown,KYBERSWAP_V2_1,COMPOUND_V3_USDT_1,USDT_1,Friday,10,8,1,2,0.65,0.77,0.78,0.0,0.22,2024-10-21 21:09:58,2025-07-23 22:21:35,276,0.47,3.27,14.02,0.54,0.55,0.58,0.79,0.3,51.7
6,0x171c53d55b1bcb725f660677d9e8bad7fd084282,5756.4116,0.1032,0.0,116.4305,0.0,0.0139,0.0,0.0,23358.13,30300.04,2963.43,2964.0,0.86,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.0,0.98,1.0,0.19,25.55,1,5872.9592,0.0,0.0,0.0,0.02,0.98,0.0,0.0,0.0,0.02,0.98,2,3,12,12,8,3,300,0.91,2081084.47,446038.53,88545755.74,114861098.29,66,0.09,4.55,0.0,0.0,0.07,0.27,0.66,0.0,0.0,0.56,0.62,unknown,unknown,AAVE_V3_POOL_1,USDC_1,Wednesday,9,8,1,3,0.33,1.0,0.33,0.33,0.33,2023-09-30 23:10:39,2025-07-23 23:07:11,662,0.45,3.17,13.6,0.78,0.8,1.0,1.0,0.3,61.8
7,0x1789c92118cdc5297b9b8ba75a5502b1de2bf0d7,68.6897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.8,210.76,45.8,45.68,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,4.4,0,68.6897,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,3,3,1,74,0.57,64348.65,12105.26,514789.2,798946.9,31,0.04,2.39,0.0,0.0,0.52,0.21,0.25,0.0,0.0,1.0,1.0,unknown,unknown,COMPOUND_V3_USDT_1,USDT_1,Tuesday,6,16,1,1,1.0,0.0,1.0,0.0,0.0,2025-04-26 05:56:59,2025-07-22 19:20:35,88,0.84,5.89,25.23,0.0,0.0,0.0,0.65,0.41,33.4
8,0x1de63b3271a85dda669f4b8db626ea62c69fd576,0.0692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.27,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0692,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,3,3,1,10,0.76,511.76,127.8,1023.51,1022.44,1,0.0,10.0,0.0,0.0,0.4,0.1,0.5,0.0,0.0,1.0,1.0,unknown,unknown,COMPOUND_V3_USDT_1,USDT_1,Wednesday,10,8,1,1,1.0,0.0,1.0,0.0,0.0,2025-07-23 10:25:35,2025-07-23 11:39:47,1,10.0,10.0,10.0,0.0,0.0,0.0,0.15,0.51,28.4
9,0x265b54e8306bedc9ad22ea508231582c73b8093e,1028.6994,0.0,0.0,0.0,0.0,0.2898,0.0,0.0,0.0,155.42,0.0,60.0,0.41,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,4.35,0,1028.9892,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,4,17,10,3,300,0.82,0.0,1963.88,0.0,589162.45,29,0.04,10.34,0.0,0.04,0.17,0.08,0.7,0.0,0.72,0.46,0.36,unknown,KYBERSWAP_V2_1,COMPOUND_V3_USDT_1,USDT_1,Tuesday,8,8,1,3,0.33,1.0,0.33,0.33,0.33,2024-10-16 03:36:29,2025-07-20 14:16:11,278,1.08,7.55,32.37,1.0,1.0,1.0,1.0,0.46,66.4
10,0x29f82d09c2afd12f3c10ee49cd713331f4a7228e,3275.1699000000003,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,7.95,115.38,4.85,14.96,0.45,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,3275.1703,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,6,1,11,9,3,300,0.84,5022.79,1461.39,30136.75,437387.37,42,0.06,7.14,0.0,0.0,0.02,0.11,0.86,1.0,0.0,0.56,0.73,ARBITRUM_BRIDGE_1,unknown,COMPOUND_V3_ETH_1,USDC_42161,Monday,5,4,1,3,0.33,1.0,0.33,0.33,0.33,2024-09-28 06:06:57,2025-07-23 16:56:35,299,1.0,7.02,30.1,0.73,0.91,1.0,1.0,0.44,63.2
11,0x2daefcb5014b21816f32cc8f5073609694f36446,122.46889999999999,1.4341,6.002,0.0,0.0,0.0,0.0,0.0,1.11,2.16,0.25,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,129.905,0.01,0.05,0.0,0.0,0.94,0.0,0.06,0.0,0.0,0.94,2,0,0,9,8,3,184,0.9,115.93,47.02,4236.97,8186.25,40,0.05,4.6,0.0,0.01,0.01,0.11,0.85,1.0,1.0,1.0,0.51,ACROSS_BRIDGE_1,UNISWAP_V2_ROUTER_1,COMPOUND_V3_ETH_1,USDT_1,Friday,12,12,1,3,0.42,0.86,0.53,0.11,0.36,2023-02-02 10:42:35,2025-07-18 16:19:11,898,0.2,1.43,6.15,0.61,0.8,1.0,0.88,0.18,54.3
12,0x36bbd64e71856201791bab3e4e782662ff31e013,145.0984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,145.0984,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,4,3,1,5,0.94,151.63,0.0,151.63,0.0,2,0.0,2.5,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.5,1.0,unknown,unknown,COMPOUND_V3_USDC_1,USDC_1,Sunday,14,12,1,1,1.0,0.0,1.0,0.0,0.0,2025-07-14 19:42:59,2025-07-20 14:47:23,6,0.83,5.0,5.0,0.15,0.0,0.0,0.0,0.38,27.9
13,0x3d10ed16c911cd22d100cbc00165c918a2df66bc,60528.46310000001,0.0,2393169.6113,2289.5388,0.0,0.0,0.0,0.0,0.0,2686.33,0.0,1333.0,0.76,1.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,29.6,1,2455987.6132,0.0,0.97,0.0,0.0,0.02,0.0,0.97,0.0,0.0,0.02,1,11,3,4,4,1,100,0.7,0.01,117049.44,0.12,10183300.97,24,0.03,4.17,0.0,0.21,0.15,0.01,0.63,0.0,1.0,1.0,1.0,unknown,UNISWAP_V4_ROUTER_1,COMPOUND_V3_USDT_1,WETH_1,Wednesday,17,16,1,1,1.0,0.0,1.0,0.0,0.0,2025-05-11 20:31:35,2025-07-20 11:21:59,70,1.43,10.0,42.86,0.15,0.22,0.0,0.72,0.51,42.9
14,0x42e6300d8d5c1531996b8d567528147761c76d39,1118.7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.38,0.0,58.0,0.62,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,6.5,1,1118.7424,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,3,3,5,4,1,100,0.87,0.0,21925.08,0.0,2192508.49,3,0.0,33.33,0.0,0.02,0.32,0.01,0.65,0.0,1.0,0.53,1.0,unknown,KYBERSWAP_V2_1,AAVE_V3_POOL_1,USDC_1,Wednesday,14,12,1,1,1.0,0.0,1.0,0.0,0.0,2025-07-22 04:39:47,2025-07-24 06:06:11,3,33.33,100.0,100.0,0.27,0.22,0.0,0.72,1.0,56.7
15,0x4713253a106008f12dca2da55422614aea4bb036,288.63210000000004,6.8518,15.800099999999999,0.0,0.0001,0.0,0.0,0.0,0.1,0.19,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,311.2841,0.02,0.05,0.0,0.0,0.93,0.0,0.07,0.0,0.0,0.93,3,0,0,10,7,3,191,0.96,60.71,4.91,364.26,733.17,28,0.04,6.82,0.0,0.0,0.02,0.23,0.73,0.0,0.0,0.52,0.84,unknown,unknown,MORPHO_RELEND_USDC_1,USDC_1,Friday,18,16,42161,3,0.4,0.9,0.32,0.15,0.52,2023-05-05 23:05:47,2025-07-11 20:35:39,798,0.24,1.68,7.18,0.67,0.69,1.0,0.89,0.2,55.4
16,0x4736199d7db7aaa5f1fae8f946234522534f6946,14.9228,1404.5699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54,0.0,9.53,0.23,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,1,1419.4927,0.99,0.0,0.0,0.0,0.01,0.0,0.99,0.0,0.0,0.01,2,0,1,11,8,3,120,0.96,0.02,124.78,0.21,36164.17,21,0.03,5.71,0.0,0.03,0.05,0.16,0.75,0.0,1.0,0.72,0.82,unknown,UNISWAP_V4_ROUTER_1,COMPOUND_V3_USDC_1,USDC_1,Wednesday,18,16,1,3,0.71,0.52,0.83,0.09,0.08,2025-04-30 19:29:29,2025-07-23 18:51:11,84,1.43,10.0,42.86,0.73,0.8,1.0,0.77,0.51,60.7
17,0x47dacc0d2e4a25b08a84713707f52bcbc96c63ad,3431.9554000000003,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.09,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1,3431.9569,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,5,0,9,6,2,110,0.88,166.37,0.42,332.74,76.54,24,0.03,4.58,0.05,0.0,0.17,0.24,0.52,0.56,0.0,0.57,0.75,STARGATE_V2_BRIDGE_USDC_1,unknown,AAVE_V3_POOL_1,USDC_1,Thursday,13,12,1,2,0.83,0.44,0.91,0.0,0.09,2024-12-21 13:12:28,2025-07-23 15:33:59,215,0.51,3.58,15.35,0.61,0.55,0.58,0.75,0.32,51.2
18,0x485c07c5516315881c732c90122ba4de3f356180,5044.8359,0.0,0.0,0.0,18973.2394,0.0,0.0,0.0,820.0,4939.78,640.0,853.0,0.74,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04,0.16,0.22,0.05,20.55,2,24018.075299999997,0.0,0.0,0.79,0.0,0.21,0.0,0.0,0.0,0.79,0.21,3,2,5,11,7,3,232,0.86,207229.87,126278.67,3108447.85,18725671.51,36,0.05,6.44,0.0,0.0,0.11,0.12,0.75,0.0,0.0,1.0,0.44,unknown,unknown,AAVE_V3_POOL_1,USDC_1,Thursday,1,0,1,3,0.39,0.91,0.43,0.43,0.14,2025-03-18 01:49:35,2025-07-24 06:27:11,129,1.8,12.59,53.95,0.73,0.69,1.0,0.93,0.56,62.2
19,0x4c435b24002f4961956beb276b0eda776521ab53,44.4976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,35.0,1.98,33.02,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0,44.4976,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,1,6,5,2,102,0.66,3755.94,4381.72,7511.88,132668.85,8,0.01,12.75,0.01,0.0,0.09,0.11,0.76,1.0,0.0,1.0,0.56,STARGATE_V2_BRIDGE_USDC_1,unknown,AAVE_V3_POOL_1,USDC_1,Wednesday,21,0,1,2,0.96,0.14,0.98,0.02,0.0,2024-12-08 14:25:03,2025-07-24 03:15:11,228,0.45,3.13,13.42,0.37,0.4,0.58,0.73,0.3,41.7
20,0x56512bdee5c6e8834c01be273a43391069e4a1a3,0.0644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.38,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,3,3,1,8,0.85,1440.5,205.69,1440.5,1439.81,1,0.0,8.0,0.0,0.0,0.37,0.12,0.5,0.0,0.0,1.0,1.0,unknown,unknown,COMPOUND_V3_USDT_1,USDT_1,Wednesday,7,4,1,1,1.0,0.0,1.0,0.0,0.0,2025-07-23 07:53:59,2025-07-23 11:50:59,1,8.0,8.0,8.0,0.0,0.0,0.0,0.1,0.47,28.4
21,0x6121654d3fd4c8b42a90d30472e4d40927c3e6bb,53.998999999999995,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.08,4.3,0.04,0.56,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0,53.999199999999995,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,0,3,13,10,3,119,0.79,75.78,64.87,303.16,16295.63,24,0.03,4.96,0.05,0.05,0.03,0.09,0.77,0.56,0.72,0.5,0.37,ACROSS_BRIDGE_1,UNISWAP_V4_ROUTER_1,COMPOUND_V3_USDT_1,WETH_1,Monday,1,0,1,3,0.72,0.5,0.84,0.08,0.08,2025-04-12 13:39:35,2025-07-24 00:04:11,103,1.16,8.09,34.66,0.83,1.0,1.0,0.77,0.47,59.5
22,0x636bbf93b4058c086f0b136808638acb72480ba6,376.1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,376.1481,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,5,3,1,5,0.65,377.56,0.0,377.56,0.0,1,0.0,5.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.5,0.5,unknown,unknown,COMPOUND_V3_USDT_1,USDT_1,Thursday,6,4,1,1,1.0,0.0,1.0,0.0,0.0,2025-07-17 06:04:11,2025-07-17 06:17:35,1,5.0,5.0,5.0,0.27,0.0,0.0,0.0,0.38,23.3
